datetime,UL,DL
2025/Sep/24 16:55:28,4.64,26.8
2025/Sep/24 16:55:33,3.9,19.4
2025/Sep/24 16:55:36,5.12,26.8
2025/Sep/24 16:55:39,4.86,61.6
2025/Sep/24 16:55:41,6.11,97.2
2025/Sep/24 16:55:44,5.1,28.8
2025/Sep/24 16:55:46,6.66,46.4
2025/Sep/24 16:55:49,5.1,35.9
2025/Sep/24 16:55:51,6.1,79.8
2025/Sep/24 16:55:54,5.12,26.1
2025/Sep/24 16:55:56,6.65,85.4
2025/Sep/24 16:55:59,5.13,115.0
2025/Sep/24 16:56:01,5.66,103.0
2025/Sep/24 16:56:04,5.61,142.0
2025/Sep/24 16:56:07,6.65,57.6
2025/Sep/24 16:56:09,4.48,83.2
2025/Sep/24 16:56:12,6.66,59.1
2025/Sep/24 16:56:14,5.1,52.5
2025/Sep/24 16:56:17,6.66,107.0
2025/Sep/24 16:56:19,4.11,78.7
2025/Sep/24 16:56:22,6.13,121.0
2025/Sep/24 16:56:24,5.1,79.1
2025/Sep/24 16:56:27,6.11,95.1
2025/Sep/24 16:56:29,6.63,54.6
2025/Sep/24 16:56:32,3.56,31.3
2025/Sep/24 16:56:35,5.58,79.3
2025/Sep/24 16:56:37,4.09,74.5
2025/Sep/24 16:56:40,6.12,88.7
2025/Sep/24 16:56:42,6.13,124.0
2025/Sep/24 16:56:45,6.63,85.5
2025/Sep/24 16:56:47,6.67,128.0
2025/Sep/24 16:56:50,7.1,111.0
2025/Sep/24 16:56:52,7.14,151.0
2025/Sep/24 16:56:55,3.37,69.9
2025/Sep/24 16:56:57,3.41,40.7
2025/Sep/24 16:57:00,5.09,78.6
2025/Sep/24 16:57:03,4.09,100.0
2025/Sep/24 16:57:05,6.13,81.3
2025/Sep/24 16:57:08,4.2,82.8
2025/Sep/24 16:57:10,6.12,101.0
2025/Sep/24 16:57:13,5.19,45.3
2025/Sep/24 16:57:15,6.08,94.8
2025/Sep/24 16:57:18,6.11,113.0
2025/Sep/24 16:57:20,5.13,71.7
2025/Sep/24 16:57:23,5.08,81.9
2025/Sep/24 16:57:26,4.6,122.0
2025/Sep/24 16:57:28,4.09,77.6
2025/Sep/24 16:57:31,6.12,52.2
2025/Sep/24 16:57:33,4.62,64.2
2025/Sep/24 16:57:36,7.11,115.0
2025/Sep/24 16:57:39,2.73,110.0
2025/Sep/24 16:57:42,4.6,101.0
2025/Sep/24 16:57:44,4.24,69.4
2025/Sep/24 16:57:47,2.74,45.6
2025/Sep/24 16:57:50,3.91,35.8
2025/Sep/24 16:57:52,7.1,105.0
2025/Sep/24 16:57:55,5.63,49.1
2025/Sep/24 16:57:57,6.1,111.0
2025/Sep/24 16:58:00,6.08,51.5
2025/Sep/24 16:58:02,7.68,60.0
2025/Sep/24 16:58:05,5.61,44.3
2025/Sep/24 16:58:07,7.15,86.7
2025/Sep/24 16:58:10,5.63,80.2
2025/Sep/24 16:58:12,5.69,43.8
2025/Sep/24 16:58:15,5.1,85.4
2025/Sep/24 16:58:18,3.74,95.6
2025/Sep/24 16:58:21,5.09,92.8
2025/Sep/24 16:58:24,6.08,108.0
2025/Sep/24 16:58:27,4.62,89.0
2025/Sep/24 16:58:29,6.61,86.4
2025/Sep/24 16:58:32,5.61,47.6
2025/Sep/24 16:58:34,5.64,94.3
2025/Sep/24 16:58:37,6.15,140.0
2025/Sep/24 16:58:39,8.1,58.6
2025/Sep/24 16:58:42,5.14,112.0
2025/Sep/24 16:58:44,7.1,80.4
2025/Sep/24 16:58:47,5.78,145.0
2025/Sep/24 16:58:49,7.14,142.0
2025/Sep/24 16:58:52,6.1,61.2
2025/Sep/24 16:58:54,6.08,120.0
2025/Sep/24 16:58:57,7.11,61.2
2025/Sep/24 16:58:59,5.58,93.7
2025/Sep/24 16:59:02,8.13,70.7
