Date Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Sep/24 16:46:58,43.993,1,1
2025/Sep/24 16:46:59,39.019,1,1
2025/Sep/24 16:47:00,42.721,1,1
2025/Sep/24 16:47:01,43.370,1,1
2025/Sep/24 16:47:03,35.886,1,1
2025/Sep/24 16:47:04,46.452,1,1
2025/Sep/24 16:47:05,44.092,1,1
2025/Sep/24 16:47:06,40.883,1,1
2025/Sep/24 16:47:07,38.047,1,1
2025/Sep/24 16:47:08,38.569,1,1
2025/Sep/24 16:47:10,43.115,1,1
2025/Sep/24 16:47:11,46.135,1,1
2025/Sep/24 16:47:12,44.193,1,1
2025/Sep/24 16:47:13,47.407,1,1
2025/Sep/24 16:47:14,35.718,1,1
2025/Sep/24 16:47:15,39.248,1,1
2025/Sep/24 16:47:16,34.755,1,1
2025/Sep/24 16:47:17,35.537,1,1
2025/Sep/24 16:47:19,34.686,1,1
2025/Sep/24 16:47:20,34.265,1,1
2025/Sep/24 16:47:21,42.458,1,1
2025/Sep/24 16:47:22,37.276,1,1
2025/Sep/24 16:47:23,35.411,1,1
2025/Sep/24 16:47:24,35.148,1,1
2025/Sep/24 16:47:25,34.649,1,1
2025/Sep/24 16:47:27,47.681,1,1
2025/Sep/24 16:47:28,39.881,1,1
2025/Sep/24 16:47:29,30.273,1,1
2025/Sep/24 16:47:30,51.051,1,1
2025/Sep/24 16:47:31,34.794,1,1
2025/Sep/24 16:47:32,40.993,1,1
2025/Sep/24 16:47:33,34.522,1,1
2025/Sep/24 16:47:35,31.029,1,1
2025/Sep/24 16:47:36,37.277,1,1
2025/Sep/24 16:47:37,38.089,1,1
2025/Sep/24 16:47:38,35.730,1,1
2025/Sep/24 16:47:39,30.778,1,1
2025/Sep/24 16:47:40,38.528,1,1
2025/Sep/24 16:47:41,30.859,1,1
2025/Sep/24 16:47:42,N/A,1,0
2025/Sep/24 16:47:44,40.145,1,1
2025/Sep/24 16:47:45,50.969,1,1
2025/Sep/24 16:47:46,32.237,1,1
2025/Sep/24 16:47:47,30.957,1,1
2025/Sep/24 16:47:48,43.512,1,1
2025/Sep/24 16:47:49,38.002,1,1
2025/Sep/24 16:47:50,36.098,1,1
2025/Sep/24 16:47:52,40.079,1,1
2025/Sep/24 16:47:53,36.222,1,1
2025/Sep/24 16:47:54,42.492,1,1
2025/Sep/24 16:47:55,40.369,1,1
2025/Sep/24 16:47:56,34.258,1,1
2025/Sep/24 16:47:57,39.395,1,1
2025/Sep/24 16:47:58,36.253,1,1
2025/Sep/24 16:48:00,37.703,1,1
2025/Sep/24 16:48:01,33.368,1,1
