Date,Time,UL,DL
2025/Sep/04,23:05:36,5.97,11.9
2025/Sep/04,23:05:40,4.92,5.62
2025/Sep/04,23:05:42,5.44,11.0
2025/Sep/04,23:05:46,8.99,8.83
2025/Sep/04,23:05:49,5.34,11.0
2025/Sep/04,23:05:50,3.88,7.98
2025/Sep/04,23:05:54,5.46,10.7
2025/Sep/04,23:05:57,3.0,12.6
2025/Sep/04,23:06:00,3.94,6.02
2025/Sep/04,23:06:01,5.11,20.6
2025/Sep/04,23:06:05,3.14,11.2
2025/Sep/04,23:06:08,4.4,8.77
2025/Sep/04,23:06:10,3.26,12.3
2025/Sep/04,23:06:14,3.98,4.19
2025/Sep/04,23:06:15,3.71,14.2
2025/Sep/04,23:06:19,3.08,48.5
2025/Sep/04,23:06:20,4.75,41.3
2025/Sep/04,23:06:24,3.97,19.5
2025/Sep/04,23:06:27,5.25,15.5
2025/Sep/04,23:06:30,4.11,10.1
2025/Sep/04,23:06:34,7.64,9.39
2025/Sep/04,23:06:37,7.59,9.41
2025/Sep/04,23:06:40,3.6,8.39
2025/Sep/04,23:06:41,5.06,10.5
2025/Sep/04,23:06:43,4.28,12.4
2025/Sep/04,23:06:47,3.76,12.9
2025/Sep/04,23:06:50,3.85,10.9
2025/Sep/04,23:06:53,4.07,18.8
2025/Sep/04,23:06:56,4.8,16.1
2025/Sep/04,23:06:59,3.76,19.9
2025/Sep/04,23:07:02,6.35,9.88
2025/Sep/04,23:07:05,6.28,12.0
2025/Sep/04,23:07:08,8.81,8.87
2025/Sep/04,23:07:11,6.92,12.9
2025/Sep/04,23:07:14,9.54,11.7
2025/Sep/04,23:07:17,6.61,29.4
2025/Sep/04,23:07:20,5.84,13.6
2025/Sep/04,23:07:23,6.49,12.5
2025/Sep/04,23:07:24,6.76,9.96
2025/Sep/04,23:07:28,14.6,14.4
2025/Sep/04,23:07:31,15.3,21.1
2025/Sep/04,23:07:32,5.69,12.5
2025/Sep/04,23:07:34,6.24,11.3
2025/Sep/04,23:07:38,6.26,11.6
2025/Sep/04,23:07:41,5.82,13.1
2025/Sep/04,23:07:44,12.0,18.7
2025/Sep/04,23:07:47,7.65,16.2
2025/Sep/04,23:07:50,6.58,20.6
2025/Sep/04,23:07:51,6.84,19.3
2025/Sep/04,23:07:55,5.77,8.97
