Date Time,latitude,longitude,MCC,MNC,PCI,EARFCN,CellID,LAC,RSRP,RSRQ,RSSI,SINR,NB1_EARFCN,NB1_PCI,NB1_RSRQ,NB1_RSRP,NB1_RSSI,NB2_EARFCN,NB2_PCI,NB2_RSRQ,NB2_RSRP,NB2_RSSI,NB3_EARFCN,NB3_PCI,NB3_RSRQ,NB3_RSRP,NB3_RSSI,NB4_EARFCN,NB4_PCI,NB4_RSRQ,NB4_RSRP,NB4_RSSI,NB5_EARFCN,NB5_PCI,NB5_RSRQ,NB5_RSRP,NB5_RSSI,NB6_EARFCN,NB6_PCI,NB6_RSRQ,NB6_RSRP,NB6_RSSI,NB7_EARFCN,NB7_PCI,NB7_RSRQ,NB7_RSRP,NB7_RSSI,NB8_EARFCN,NB8_PCI,NB8_RSRQ,NB8_RSRP,NB8_RSSI,NB9_EARFCN,NB9_PCI,NB9_RSRQ,NB9_RSRP,NB9_RSSI,NB10_EARFCN,NB10_PCI,NB10_RSRQ,NB10_RSRP,NB10_RSSI,,311,480,78,5230,216254.1,55302,-92,-11,-62,11,5230,78,-11,-92,-67,5230,79,-14,-93,-71,
2025/Mar/18 11:32:53,,,311,480,78,5230,216254.1,55302,-89,-11,-59,12,5230,78,-11,-89,-60,5230,79,-13,-89,-67,
2025/Mar/18 11:32:54,,,311,480,78,5230,216254.1,55302,-88,-11,-57,12,5230,78,-11,-88,-59,5230,79,-13,-88,-67,
2025/Mar/18 11:32:55,,,311,480,78,5230,216254.1,55302,-88,-10,-58,11,5230,78,-10,-88,-61,5230,79,-12,-88,-68,
2025/Mar/18 11:32:56,,,311,480,78,5230,216254.1,55302,-88,-11,-59,13,5230,78,-10,-88,-63,5230,79,-12,-88,-69,
2025/Mar/18 11:32:57,,,311,480,78,5230,216254.1,55302,-88,-9,-59,12,5230,78,-9,-88,-60,5230,79,-11,-88,-68,
2025/Mar/18 11:32:58,,,311,480,78,5230,216254.1,55302,-88,-10,-61,17,5230,78,-10,-88,-59,5230,79,-12,-88,-67,
2025/Mar/18 11:32:59,,,311,480,78,5230,216254.1,55302,-89,-9,-63,17,5230,78,-9,-89,-59,5230,79,-12,-89,-68,
2025/Mar/18 11:33:00,,,311,480,78,5230,216254.1,55302,-89,-10,-59,11,5230,78,-11,-89,-58,5230,79,-13,-89,-67,
2025/Mar/18 11:33:02,,,311,480,78,5230,216254.1,55302,-89,-10,-60,13,5230,78,-10,-89,-60,5230,79,-12,-89,-69,
2025/Mar/18 11:33:03,,,311,480,78,5230,216254.1,55302,-88,-9,-61,14,5230,78,-9,-88,-60,5230,79,-12,-89,-67,
2025/Mar/18 11:33:04,,,311,480,78,5230,216254.1,55302,-89,-11,-59,12,5230,78,-11,-89,-61,5230,79,-12,-88,-70,
2025/Mar/18 11:33:05,,,311,480,78,5230,216254.1,55302,-88,-9,-57,12,5230,78,-10,-88,-59,5230,79,-12,-88,-66,
2025/Mar/18 11:33:06,,,311,480,78,5230,216254.1,55302,-88,-11,-59,14,5230,78,-11,-88,-59,5230,79,-13,-88,-67,
2025/Mar/18 11:33:07,,,311,480,78,5230,216254.1,55302,-88,-9,-62,14,5230,78,-10,-88,-62,5230,79,-12,-88,-68,
2025/Mar/18 11:33:08,,,311,480,78,5230,216254.1,55302,-88,-10,-61,14,5230,78,-10,-88,-62,5230,79,-12,-88,-68,
2025/Mar/18 11:33:09,,,311,480,78,5230,216254.1,55302,-87,-10,-58,15,5230,78,-10,-87,-58,5230,79,-13,-87,-66,
2025/Mar/18 11:33:10,,,311,480,78,5230,216254.1,55302,-88,-11,-59,12,5230,78,-11,-88,-57,5230,79,-13,-88,-66,
2025/Mar/18 11:33:11,,,311,480,78,5230,216254.1,55302,-88,-10,-60,14,5230,78,-10,-88,-62,5230,79,-12,-88,-68,
2025/Mar/18 11:33:12,,,311,480,78,5230,216254.1,55302,-88,-11,-59,14,5230,78,-11,-88,-60,5230,79,-13,-88,-67,
2025/Mar/18 11:33:14,,,311,480,78,5230,216254.1,55302,-88,-11,-57,11,5230,78,-11,-88,-59,5230,79,-13,-88,-66,
2025/Mar/18 11:33:15,,,311,480,78,5230,216254.1,55302,-88,-10,-57,14,5230,78,-10,-88,-60,5230,79,-12,-89,-66,
2025/Mar/18 11:33:16,,,311,480,78,5230,216254.1,55302,-88,-11,-60,11,5230,78,-11,-88,-59,5230,79,-13,-89,-68,
2025/Mar/18 11:33:17,,,311,480,78,5230,216254.1,55302,-88,-11,-58,10,5230,78,-11,-88,-59,5230,79,-13,-88,-66,
2025/Mar/18 11:33:18,,,311,480,78,5230,216254.1,55302,-88,-12,-56,10,5230,78,-11,-88,-58,5230,79,-13,-88,-65,
